sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50	genome_length
rotifer_0.01_2x_23.hist	90817965	2104982	444786	162579	90524	56534	56160	27591	12279	14046	16384	18513	9487	5243	2915	4217	6689	8928	2276	1238	802	249	471	915	1955	6257	1895	609	202	100	28	7	2	0	0	2432	2535	1381	275	14	3	0	0	0	0	0	0	0	0	2856	99793017
rotifer_0.01_8x_23.hist	90308515	2093174	416167	160030	80488	50188	36925	32984	25718	14722	17172	8467	8396	8276	4281	4432	7030	3905	1006	2476	4675	1460	631	869	1856	3419	771	247	368	2605	770	228	90	64	2602	161	166	89	16	431	1116	456	241	89	13	3	89	1187	394	235	99325162
rotifer_0.01_1x_23.hist	91321202	1786881	384970	152694	70369	44634	43890	39205	33399	17032	8245	4065	4229	6982	8662	12533	7224	3009	477	259	167	259	1230	2391	5109	4399	992	318	105	51	14	3	0	0	6232	503	143	77	14	0	0	0	0	0	0	0	0	0	0	4203	98995297
rotifer_0.0_1x_novaseq_profR.hist	85635050	3387228	641850	245074	135090	83875	81326	39955	15731	11847	13818	15613	21706	34051	17619	5605	3230	1344	212	320	605	989	4700	9138	6263	3478	784	251	82	40	10	2	0	0	10129	632	180	97	18	0	0	0	0	0	0	0	0	0	0	8125	99316459
rotifer_0.01_1x_MiSeqv3L250R.hist	89396244	2812665	361280	153933	85977	53789	83562	52868	20816	10615	5138	2533	2436	4021	4988	7217	11447	11987	1906	4279	2774	866	374	108	5	1	0	0	113	1585	7511	2231	891	101	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5135	99511366
rotifer_0.001_4x_novaseq_profR.hist	86130876	3061933	571980	229412	110317	69723	74746	56766	22350	20408	23805	26012	9986	5519	5935	8588	13622	5675	901	2186	4129	6759	5329	1558	190	608	1447	3858	2927	1462	432	127	167	500	5745	358	101	54	9	0	131	2368	1256	470	77	24	10	2	0	2778	99805398
rotifer_0.001_2x_MiSeqv3L250R.hist	86520112	3400400	658529	243721	136923	85938	95586	46962	18714	21408	24971	28216	14788	8173	4228	2786	4419	5899	12418	6760	4383	1368	592	504	1076	3442	8191	2637	878	438	128	37	13	0	0	1083	4614	2516	502	26	7	2	0	0	0	0	0	0	0	5184	98756862
rotifer_0.001_8x_novaseq_profR.hist	86063425	2953216	589324	227329	114963	71983	55787	49832	28773	27629	23195	11438	15238	12295	6513	9425	5432	4537	7599	4136	2682	1201	5705	3796	437	1400	3331	1747	581	289	1261	2521	2156	247	77	3	2219	1591	317	16	4	1352	1622	607	100	32	13	3	0	2639	99477734
rotifer_0.001_8x_23.hist	85970127	3042019	587815	229250	114214	71810	67855	34277	46024	23471	16675	18842	14818	8190	7746	11207	6877	2864	5223	6811	4417	1379	1903	3700	3593	1995	449	143	3236	2025	599	176	915	2744	872	53	14	6	3633	458	151	61	31	1806	683	226	100	32	9	1796	98776464
rotifer_0.001_1x_HiSeq2500L150R.hist	90982938	4418058	971627	336504	172641	111321	32839	29333	44308	50687	59124	35584	13660	7550	3906	1241	714	465	979	2411	4553	7453	21218	6207	364	201	44	13	3	0	0	0	0	0	10787	673	192	104	19	0	0	0	0	0	0	0	0	0	0	9066	105161452
