sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
rotifer_0.001_8x_novaseq_profR.hist	86014774	3022310	592552	229907	115081	72207	54195	48411	33127	32647	15805	13627	18477	10213	5284	6861	10882	4533	2085	5131	5845	4180	1810	1223	2612	3667	827	265	1996	3121	924	273	2113	242	76	2235	1100	599	118	5	1303	1124	595	222	36	821	367	121	39	1800
rotifer_0.001_2x_novaseq_profR.hist	85815259	2979962	543892	223480	109453	67038	48979	43751	56155	28638	13865	7538	10479	17301	18571	5908	3404	1417	1875	4616	8718	5161	2235	653	995	3184	5315	1710	569	283	83	23	8	0	0	6780	1948	1061	211	10	2	0	0	0	0	0	0	434	3046	1827
rotifer_0.001_1x_20.hist	86361188	2766126	535595	218610	104643	65583	58596	52342	65532	33420	16180	7978	3062	3319	4117	5957	9448	12612	14103	7677	4978	1554	672	195	10	4	0	0	0	0	2937	5874	6838	787	249	14	3	0	0	0	0	0	0	0	0	0	0	0	0	7549
rotifer_0.01_2x_23.hist	90687794	2095013	437514	161200	89527	55830	57509	28254	12438	14229	16596	18367	7050	3896	3005	4348	6896	9205	1463	795	515	199	946	1838	3927	4866	1097	352	116	57	15	3	12	37	5405	336	95	51	9	0	0	0	0	0	0	0	1786	1605	534	319
rotifer_0.001_4x_23.hist	86176013	3278471	578655	236008	112670	70749	66406	59319	25406	23731	27681	21212	8143	6249	7753	11218	10289	4286	1134	2792	5273	8632	3739	1093	129	414	985	2626	4462	2230	659	195	77	7	1	3840	1458	794	157	7	1	1151	1353	506	83	26	11	2	0	3451
rotifer_0.001_4x_MiSeqv3L250R.hist	86425370	3179851	588362	235236	112838	71377	73020	60155	23685	21729	25345	22999	8829	5425	6730	9738	14204	5917	940	1791	3383	5538	6649	1944	166	530	1262	3365	3818	1908	564	166	65	6	1	1551	3688	2010	401	21	6	1	0	91	2308	768	343	113	36	1119
rotifer_0.001_4x_novaseq_profR.hist	86070562	3074018	580887	229339	113405	71266	69832	34308	33431	36957	17893	9495	13199	18685	9667	3075	4876	6509	7475	4069	2638	1585	7527	2901	169	351	835	2225	4047	2022	598	176	69	7	4446	1500	430	233	45	1	0	780	2075	777	128	41	17	4	0	2604
rotifer_0.01_2x_20.hist	91459353	2119848	414582	167290	76828	48709	45712	40833	32322	16483	7979	6366	8849	14611	8501	2704	1557	648	962	2368	4473	7322	3172	927	53	28	5	13	3412	1705	504	148	58	5	0	829	2996	1633	325	17	4	0	0	0	0	0	0	0	0	2778
rotifer_0.0_1x_23.hist	84172019	4115913	533154	227394	126961	79412	114319	56165	22114	11277	9995	11294	15701	25924	23986	7630	4397	1831	290	382	722	1181	5610	10908	6186	3435	774	248	81	39	10	2	1235	3705	6601	411	117	63	11	0	0	0	0	0	0	0	0	0	0	7795
rotifer_0.0_1x_MiSeqv3L250R.hist	86723681	3430288	695595	264273	123485	79213	42935	38352	57931	66272	32086	15823	6074	3356	1736	1832	2906	3879	8165	17450	11318	3535	1531	447	25	13	1	0	0	0	2415	4829	9724	1120	355	21	5	1	0	0	0	0	0	0	0	0	0	0	0	9040
rotifer_0.001_4x_HiSeq2500L150R.hist	88792091	3519576	675379	252911	139713	86858	58223	28605	34433	39390	22883	11284	15688	11533	5967	5816	9225	12314	3363	1830	1186	1095	5202	10115	594	329	73	22	6	2	8089	2402	960	109	33	1	0	0	0	3268	1962	803	425	158	25	7	2	0	0	3467
rotifer_0.0_1x_novaseq_profR.hist	85119279	2976816	538099	224578	115764	69008	40041	35767	54026	31679	15337	7563	8648	14278	17715	16670	9609	4002	635	345	222	323	1536	2985	6379	9564	2158	694	230	114	32	8	2	0	0	0	5813	3169	632	34	10	3	0	0	0	0	0	0	0	6816
rotifer_0.001_1x_25.hist	85838665	3474889	682248	249593	140784	88552	93491	59124	23279	11871	11660	13175	18317	30243	15649	4978	2868	1194	331	814	1537	2516	11951	8594	504	279	62	18	5	1	0	0	12165	1402	445	26	6	2	0	0	0	0	0	0	0	0	0	0	0	7307
rotifer_0.001_1x_HiSeq2500L150R.hist	86794637	4140884	537559	229333	128091	80134	122742	64952	25574	13041	6313	4840	6728	11108	13782	19942	23282	9700	1542	838	542	168	648	1259	2689	1493	336	107	276	3875	10427	3097	1237	141	44	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9636
rotifer_0.0_8x_25.hist	85340877	3104509	612625	238061	119000	74613	52918	47270	42589	21719	25334	17909	8426	13913	10295	4873	7729	8578	1954	4809	7356	2297	1155	2246	4592	2550	574	184	1263	4484	1327	393	156	17	3691	229	65	34	3014	166	54	21	10	2190	716	237	105	34	10	2202
rotifer_0.001_2x_MiSeqv3L250R.hist	86284477	3239349	620303	235464	128306	79104	49824	24478	28887	33046	38446	18960	7278	4022	4691	6788	10766	14372	2285	1243	805	1055	5014	9749	1458	809	181	57	18	8	1477	2953	6117	704	223	12	2	0	0	0	0	0	3895	1459	242	79	34	10	2	2252
rotifer_0.01_1x_novaseq_profR.hist	91753684	2491002	532496	189246	103486	65565	50459	45074	39808	20301	9828	4846	3149	5198	6449	9331	11490	4786	760	413	266	288	1371	2664	4084	2268	511	163	53	25	6	0	1755	5265	1674	103	28	14	1	0	0	0	0	0	0	0	0	0	0	4297
rotifer_0.01_4x_MiSeqv3L250R.hist	90669056	2354631	420500	165117	83585	51250	42270	37758	28056	14307	11457	12946	10280	5682	3384	4897	7766	5329	846	980	1851	3029	3978	1163	382	1224	2912	936	311	154	44	12	2294	2296	729	44	11	5	0	494	1674	685	362	135	21	6	1	0	0	1810
rotifer_0.01_1x_23.hist	90227762	1981222	430505	156200	88258	55601	61911	55303	22573	11511	5572	3580	4977	8217	10195	14751	8503	3541	562	305	196	60	139	270	577	1848	4398	3502	1166	582	171	49	18	1	4799	298	84	45	8	0	0	0	0	0	0	0	0	0	0	4478
rotifer_0.0_2x_20.hist	86465636	3471079	663147	250341	137794	85479	56996	28002	29706	33983	38394	18934	7268	4296	5330	7712	12231	5095	10726	7004	4542	1418	613	215	459	1470	3497	8524	2840	1419	419	123	48	4	0	0	0	6988	1396	76	24	9	3	0	0	0	0	0	0	5034
rotifer_0.0_2x_25.hist	85509063	3231655	587520	240884	117110	71670	47681	42592	64335	32810	15885	7833	6716	11088	13756	17486	10079	4198	666	454	857	1403	6665	12307	722	400	89	27	8	3	2838	5676	2269	260	81	4	0	0	5124	310	102	41	20	6	0	0	0	0	0	4965
rotifer_0.001_2x_20.hist	87398591	3361564	681448	249501	140049	87858	90909	44664	19226	21994	25654	20112	7720	9906	12289	17240	9937	4139	657	426	803	1314	6244	12141	3016	1674	377	120	39	18	4	0	0	0	4690	5110	1468	799	158	7	1	0	0	0	0	0	0	0	0	5707
rotifer_0.001_1x_MiSeqv3L250R.hist	85966449	4479341	566051	240676	133682	83371	112382	55214	21739	11086	6020	6802	9456	15612	19370	24864	14332	5970	948	515	333	103	209	406	867	2775	6604	5502	1833	915	270	79	648	1945	5060	315	89	47	8	0	0	0	0	0	0	0	0	0	0	9040
rotifer_0.01_4x_20.hist	91548575	2313089	453181	169564	92507	57077	36556	17959	26982	27659	13390	6603	4998	8252	10237	7149	4120	1715	1171	2883	5445	2434	1054	307	398	1275	3033	2530	842	420	123	35	13	0	1766	1970	565	307	60	2	828	878	465	173	27	8	2	0	0	1782
rotifer_0.001_4x_20.hist	87243761	3465550	629353	244136	129598	78520	52340	46754	52025	26531	14419	14586	9750	16098	17887	5690	3279	1411	2970	7310	8938	2792	1209	812	1735	5552	2779	894	297	147	1416	2832	2125	244	76	3	0	0	4925	1280	425	173	91	33	4	0	0	0	0	3804
rotifer_0.0_4x_23.hist	85846458	3301865	621077	245538	119640	75516	82351	53124	22078	25257	29460	21991	8442	7319	9080	12952	7465	3109	2182	5372	10146	4094	1773	517	508	1627	3873	3452	1149	573	169	49	3192	2714	862	52	14	6	0	3965	1320	540	285	106	16	4	1	0	383	3118
rotifer_0.0_2x_23.hist	85530802	3419127	612543	248919	117295	74355	67494	60291	51870	26453	12807	7391	10275	16966	21049	6696	3859	1607	1935	4762	8994	7074	3064	895	51	139	330	880	7397	3697	1094	324	128	13	3	0	995	5624	1123	61	19	6	2	0	0	0	0	1559	2240	1343
rotifer_0.0_2x_MiSeqv3L250R.hist	85940171	3384835	631521	240871	133385	83039	82629	40596	16882	19312	22526	25453	22810	12608	6523	2074	2297	3066	6455	13130	8516	2660	1151	336	112	359	855	2280	6390	3194	945	279	110	11	2	0	0	0	7541	417	138	55	28	9	0	0	0	0	0	4955
