sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
moss_0.001_4x_25.hist	53369620	8062676	1632157	689972	369880	225627	198784	177570	192447	98147	55322	62513	86911	51877	26844	30545	48450	37244	11280	27765	52445	16388	7100	8663	18512	31470	7105	2287	761	379	32382	9620	3847	442	139	4505	10622	5793	1157	63	6337	9195	4880	1829	303	100	43	13	3	21493
moss_0.01_2x_25.hist	65063112	7447197	1319022	559157	302254	185398	132990	65339	98693	112904	100299	49464	18989	21288	26412	38219	60622	36543	5812	3163	4206	6885	32706	9569	1198	3834	9124	23643	7880	3939	1166	345	137	14	3	0	15946	14482	2895	159	52	20	9	2	0	0	0	0	0	23983
moss_0.01_8x_20.hist	66632272	6314656	1338251	547443	269144	170117	214969	105616	86852	99358	51759	51148	41777	37632	46690	21277	33750	21703	7272	17899	26549	8295	4955	9634	14666	8146	1838	4902	11700	5849	1732	513	4836	9766	3106	193	3493	7248	1448	79	25	1969	8437	3163	526	174	77	24	7	11434
moss_0.001_2x_23.hist	52564087	10886431	1901261	810781	445898	276475	229403	112708	105442	120625	140704	124056	47627	26327	21501	31113	49351	65882	45244	24632	15976	4991	4619	8981	19190	61408	25649	8259	2752	1375	406	119	46	4	1200	44882	12902	7036	1406	77	24	9	3	0	0	0	0	0	0	40090
moss_0.001_8x_23.hist	55058599	6685766	1529641	615294	313943	198060	243616	119691	172883	95276	83766	65798	44619	61291	31715	45893	40961	18628	39217	21872	17806	29150	21704	6350	7403	23691	12380	3985	1327	14040	15006	4457	1782	569	18740	1170	335	181	13891	2970	989	404	213	13087	2180	725	324	107	34	14724
moss_0.001_8x_25.hist	54711331	6489568	1490739	595812	308030	194007	209836	152664	161293	83272	74901	84637	39616	45884	56929	23423	32377	43222	32661	17781	17683	28950	14671	9708	20745	11524	5483	14621	9324	4661	7751	12722	5087	585	185	15518	4460	2431	485	1788	9716	3981	2112	791	5609	1868	836	277	91	13792
moss_0.0_1x_17.hist	68534679	17928954	4186794	1534955	718959	461760	175894	157123	237336	271511	316709	357881	142105	78554	40648	12932	7454	3104	492	391	738	1208	5737	11156	23838	76281	181548	58463	19486	9742	2885	856	341	38	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130801
moss_0.0_8x_30.hist	52965152	6337639	1467100	584721	303792	190951	204531	182704	127256	109773	94262	46487	52600	66473	34397	30209	47917	19964	42029	25381	16462	22526	25123	7350	8869	28382	8510	2739	1551	21721	10940	3249	1298	3123	18698	1167	334	181	13301	2780	925	378	199	14077	2345	780	348	115	37	14954
moss_0.01_1x_17.hist	69651106	20193447	2790853	1187428	648742	400622	343372	168703	66425	33876	38478	43480	60449	99811	123838	90062	51917	21631	3440	1872	1213	378	1600	3111	6647	21271	50624	62987	20994	10496	3109	922	368	41	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70650
moss_0.001_2x_17.hist	67110015	11815108	2728215	993078	563459	357842	376271	336117	265765	135539	65624	32363	39994	66036	81932	91404	52691	21953	3491	7195	13590	22248	105677	43085	2533	1406	316	100	32	15	3	0	67869	33585	10685	666	190	103	19	0	0	0	0	0	0	0	0	0	0	61711
moss_0.0_4x_30.hist	51963459	7725183	1642328	687326	357365	221158	227081	202847	172031	87734	67375	76132	83938	46400	26717	38660	52629	21928	18053	44437	38925	12163	5534	10760	22992	32810	7407	2384	793	395	21684	17898	7158	824	12275	766	219	118	22	9918	12635	5177	2747	1029	170	55	24	7	1	23136
moss_0.001_2x_30.hist	51445176	10767847	1827378	782471	435336	271756	267058	131208	101760	116412	135791	101847	39101	30298	37591	54396	72594	30246	4810	9643	18214	29818	65542	19177	1127	625	534	1424	43730	21864	6477	1923	768	87	26	0	0	40498	8098	448	148	59	30	10	0	0	0	0	0	36672
moss_0.01_2x_30.hist	65060843	7126230	1289588	545764	293555	179470	110983	81213	122672	130159	63019	31078	25046	41354	51308	48653	28046	11685	3432	8448	15956	26122	28818	8431	494	273	60	18	24542	13116	3885	1153	460	52	15	0	0	19056	10064	558	185	74	38	13	1	0	0	0	0	22210
